district,total_cultivated_area_acres,irrigated_area_acres,unirrigated_area_acres,irrigation_coverage_pct,canal_only_acres,canal_only_pct,canal_and_tubewell_acres,canal_and_tubewell_pct,tubewell_only_acres,tubewell_only_pct,barani_rainfed_acres,barani_share_pct,sailaba_flood_acres,other_sources_acres,groundwater_reliance_pct,canal_surface_reliance_pct,primary_irrigation_mode,water_source_classification,provincial_annual_canal_withdrawals_maf,provincial_per_capita_water_m3_year,falkenmark_stress_category,data_source,source_year,processed_at
Muzaffargarh District,1508512.0,1496777.0,463.0,99.22,50520.0,3.38,804825.0,53.77,640500.0,42.79,177.0,0.01,230.0,596.0,69.68,30.26,Canal & Tubewell (Conjunctive),Conjunctive Irrigation System,53.5,860.0,"Water-Stressed (<1,000 m3/capita)",PBS 2024 Agricultural Census (Table 4.2) / Pakistan Economic Survey & IRSA,2024,2026-09-02T04:07:55.580829+00:00
Nankana Sahib District,462575.0,460475.0,652.0,99.55,25792.0,5.6,220650.0,47.92,212342.0,46.11,605.0,0.13,47.0,1690.0,70.07,29.56,Canal & Tubewell (Conjunctive),Conjunctive Irrigation System,53.5,860.0,"Water-Stressed (<1,000 m3/capita)",PBS 2024 Agricultural Census (Table 4.2) / Pakistan Economic Survey & IRSA,2024,2026-09-02T04:07:55.580829+00:00
Narowal District,426376.0,393776.0,21352.0,92.35,6614.0,1.68,19328.0,4.91,363407.0,92.29,21115.0,4.95,74.0,4209.0,94.74,4.13,Tubewell (Groundwater),Groundwater Dominant,53.5,860.0,"Water-Stressed (<1,000 m3/capita)",PBS 2024 Agricultural Census (Table 4.2) / Pakistan Economic Survey & IRSA,2024,2026-09-02T04:07:55.580829+00:00
Okara District,875836.0,869061.0,227.0,99.23,139933.0,16.1,576405.0,66.33,150888.0,17.36,70.0,0.01,49.0,1736.0,50.52,49.26,Canal & Tubewell (Conjunctive),Conjunctive Irrigation System,53.5,860.0,"Water-Stressed (<1,000 m3/capita)",PBS 2024 Agricultural Census (Table 4.2) / Pakistan Economic Survey & IRSA,2024,2026-09-02T04:07:55.580829+00:00
Pakpattan District,648314.0,642915.0,4.0,99.17,36266.0,5.64,485894.0,75.58,110113.0,17.13,4.0,0.0,0.0,10566.0,54.92,43.43,Canal & Tubewell (Conjunctive),Conjunctive Irrigation System,53.5,860.0,"Water-Stressed (<1,000 m3/capita)",PBS 2024 Agricultural Census (Table 4.2) / Pakistan Economic Survey & IRSA,2024,2026-09-02T04:07:55.580829+00:00
Rahim Yar Khan District,1316798.0,1308330.0,111.0,99.36,262876.0,20.09,810751.0,61.97,232742.0,17.79,111.0,0.01,0.0,1686.0,48.77,51.08,Canal & Tubewell (Conjunctive),Conjunctive Irrigation System,53.5,860.0,"Water-Stressed (<1,000 m3/capita)",PBS 2024 Agricultural Census (Table 4.2) / Pakistan Economic Survey & IRSA,2024,2026-09-02T04:07:55.580829+00:00
Rajanpur District,942762.0,903233.0,17748.0,95.81,197394.0,21.85,427133.0,47.29,274080.0,30.34,17429.0,1.85,29.0,4627.0,53.99,45.5,Canal & Tubewell (Conjunctive),Conjunctive Irrigation System,53.5,860.0,"Water-Stressed (<1,000 m3/capita)",PBS 2024 Agricultural Census (Table 4.2) / Pakistan Economic Survey & IRSA,2024,2026-09-02T04:07:55.580829+00:00
Rawalpindi District,594765.0,244629.0,329100.0,41.13,14046.0,5.74,2643.0,1.08,30872.0,12.62,328793.0,55.28,224.0,195833.0,13.16,6.28,Rainfed (Barani),Rainfed (Barani Dominant),53.5,860.0,"Water-Stressed (<1,000 m3/capita)",PBS 2024 Agricultural Census (Table 4.2) / Pakistan Economic Survey & IRSA,2024,2026-09-02T04:07:55.580829+00:00
Sahiwal District,629429.0,625561.0,17.0,99.39,64799.0,10.36,510740.0,81.65,49515.0,7.92,0.0,0.0,0.0,476.0,48.74,51.18,Canal & Tubewell (Conjunctive),Conjunctive Irrigation System,53.5,860.0,"Water-Stressed (<1,000 m3/capita)",PBS 2024 Agricultural Census (Table 4.2) / Pakistan Economic Survey & IRSA,2024,2026-09-02T04:07:55.580829+00:00
Sargodha District,1108835.0,1083222.0,807.0,97.69,217844.0,20.11,548163.0,50.6,316395.0,29.21,563.0,0.05,68.0,668.0,54.51,45.41,Canal & Tubewell (Conjunctive),Conjunctive Irrigation System,53.5,860.0,"Water-Stressed (<1,000 m3/capita)",PBS 2024 Agricultural Census (Table 4.2) / Pakistan Economic Survey & IRSA,2024,2026-09-02T04:07:55.580829+00:00
Sheikhupura District,713371.0,708871.0,1030.0,99.37,33079.0,4.67,298527.0,42.11,359996.0,50.78,1030.0,0.14,0.0,16836.0,71.84,25.72,Tubewell (Groundwater),Groundwater Dominant,53.5,860.0,"Water-Stressed (<1,000 m3/capita)",PBS 2024 Agricultural Census (Table 4.2) / Pakistan Economic Survey & IRSA,2024,2026-09-02T04:07:55.580829+00:00
Sialkot District,587725.0,576456.0,6310.0,98.08,15032.0,2.61,53575.0,9.29,505807.0,87.74,6298.0,1.07,12.0,2041.0,92.39,7.25,Tubewell (Groundwater),Groundwater Dominant,53.5,860.0,"Water-Stressed (<1,000 m3/capita)",PBS 2024 Agricultural Census (Table 4.2) / Pakistan Economic Survey & IRSA,2024,2026-09-02T04:07:55.580829+00:00
Toba Tek Singh District,642253.0,633541.0,54.0,98.64,181701.0,28.68,357299.0,56.4,94140.0,14.86,15.0,0.0,8.0,358.0,43.06,56.88,Canal & Tubewell (Conjunctive),Conjunctive Irrigation System,53.5,860.0,"Water-Stressed (<1,000 m3/capita)",PBS 2024 Agricultural Census (Table 4.2) / Pakistan Economic Survey & IRSA,2024,2026-09-02T04:07:55.580829+00:00
Vehari District,897350.0,890953.0,34.0,99.29,100712.0,11.3,681861.0,76.53,100763.0,11.31,34.0,0.0,0.0,7618.0,49.58,49.57,Canal & Tubewell (Conjunctive),Conjunctive Irrigation System,53.5,860.0,"Water-Stressed (<1,000 m3/capita)",PBS 2024 Agricultural Census (Table 4.2) / Pakistan Economic Survey & IRSA,2024,2026-09-02T04:07:55.580829+00:00
