district,total_farm_area_acres,cultivated_area_acres,uncultivated_area_acres,total_cropped_area_acres,cultivated_share_pct,cropping_intensity_pct,wheat_area_acres,wheat_share_pct,rice_area_acres,rice_share_pct,cotton_area_acres,cotton_share_pct,sugarcane_area_acres,sugarcane_share_pct,maize_area_acres,maize_share_pct,fodder_area_acres,fodder_share_pct,orchard_area_acres,orchard_share_pct,kharif_total_acres,rabi_total_acres,data_source,source_year,processed_at
Pakpattan District,653713.0,648314.0,5399.0,1264214.0,99.17,195.0,346741.0,27.0,240911.0,19.0,5576.0,0.0,1119.0,0.0,220241.0,0.0,206653.0,16.0,3604.0,0.0,629084.0,631526.0,"PBS 2024 Agricultural Census (Tables 1.0, 1.1, 6.5)",2024,2026-09-02T04:07:55.575935+00:00
Rahim Yar Khan District,1347468.0,1316798.0,30670.0,2202039.0,97.72,167.23,910677.0,41.0,121695.0,6.0,460994.0,21.0,378161.0,17.0,3915.0,0.0,92708.0,4.0,26993.0,1.0,1121888.0,1053158.0,"PBS 2024 Agricultural Census (Tables 1.0, 1.1, 6.5)",2024,2026-09-02T04:07:55.575935+00:00
Rajanpur District,981090.0,942762.0,38328.0,1586845.0,96.09,168.32,690034.0,44.0,95388.0,6.0,392895.0,25.0,72866.0,5.0,1687.0,0.0,131230.0,8.0,1768.0,0.0,736370.0,848706.0,"PBS 2024 Agricultural Census (Tables 1.0, 1.1, 6.5)",2024,2026-09-02T04:07:55.575935+00:00
Rawalpindi District,687689.0,594765.0,92924.0,682582.0,86.49,114.76,533582.0,78.0,116.0,0.0,0.0,0.0,141.0,0.0,51129.0,0.0,38617.0,6.0,937.0,0.0,139805.0,541840.0,"PBS 2024 Agricultural Census (Tables 1.0, 1.1, 6.5)",2024,2026-09-02T04:07:55.575935+00:00
Sahiwal District,636827.0,629429.0,7397.0,1218243.0,98.84,193.55,337472.0,28.0,98472.0,8.0,49988.0,4.0,17174.0,1.0,172379.0,0.0,243727.0,20.0,7119.0,1.0,579086.0,632038.0,"PBS 2024 Agricultural Census (Tables 1.0, 1.1, 6.5)",2024,2026-09-02T04:07:55.575935+00:00
Sargodha District,1159067.0,1108835.0,50232.0,1690486.0,95.67,152.46,599353.0,36.0,180754.0,11.0,5340.0,0.0,107302.0,6.0,31686.0,0.0,427852.0,25.0,182995.0,11.0,644414.0,863077.0,"PBS 2024 Agricultural Census (Tables 1.0, 1.1, 6.5)",2024,2026-09-02T04:07:55.575935+00:00
Sheikhupura District,718953.0,713371.0,5581.0,1366709.0,99.22,191.58,547894.0,40.0,506558.0,37.0,178.0,0.0,2742.0,0.0,6978.0,0.0,242294.0,18.0,12965.0,1.0,653170.0,700574.0,"PBS 2024 Agricultural Census (Tables 1.0, 1.1, 6.5)",2024,2026-09-02T04:07:55.575935+00:00
Sialkot District,594362.0,587725.0,6637.0,1104465.0,98.88,187.92,507247.0,46.0,472542.0,43.0,827.0,0.0,951.0,0.0,2317.0,0.0,83796.0,8.0,413.0,0.0,539388.0,564663.0,"PBS 2024 Agricultural Census (Tables 1.0, 1.1, 6.5)",2024,2026-09-02T04:07:55.575935+00:00
Toba Tek Singh District,647587.0,642253.0,5334.0,1101805.0,99.18,171.55,420322.0,38.0,141933.0,13.0,23630.0,2.0,56281.0,5.0,71016.0,0.0,213958.0,19.0,33242.0,3.0,480909.0,587653.0,"PBS 2024 Agricultural Census (Tables 1.0, 1.1, 6.5)",2024,2026-09-02T04:07:55.575935+00:00
Vehari District,906456.0,897350.0,9106.0,1628150.0,99.0,181.44,495575.0,30.0,77308.0,5.0,90427.0,6.0,13433.0,1.0,453289.0,0.0,233930.0,14.0,11477.0,1.0,775875.0,840797.0,"PBS 2024 Agricultural Census (Tables 1.0, 1.1, 6.5)",2024,2026-09-02T04:07:55.575935+00:00
