system:index,Rainfall_mm,district,month,year,.geo
2_000100000000000016a1,12.424874759189425,Mandi Bahauddin District,3,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000100000000000016a2,22.0242194677561,Mianwali District,3,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000100000000000016a3,6.945609431401964,Multan District,3,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000100000000000016a4,7.916192565755941,Muzaffargarh District,3,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000100000000000016a5,14.337992106947876,Narowal District,3,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000100000000000016a6,7.759590915421255,Okara District,3,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000100000000000016a7,2.1301782797612967,Pakpattan District,3,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000100000000000016a8,2.016243499974643,Rahim Yar Khan District,3,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000100000000000016a9,7.941059946110814,Rajanpur District,3,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000100000000000016aa,41.544189605329244,Rawalpindi District,3,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000100000000000016ab,7.366191618609477,Sahiwal District,3,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000100000000000016ac,10.608504720131565,Sargodha District,3,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000100000000000016ad,14.463679246218911,Sheikhupura District,3,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000100000000000016ae,8.712051017847154,Sialkot District,3,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000100000000000016af,5.742515701465317,Toba Tek Singh District,3,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000100000000000016b0,5.813297941657343,Vehari District,3,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0001000000000000168f,32.50252056387838,Attock District,4,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00010000000000001690,1.1829391604150887,Bahawalnagar District,4,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00010000000000001691,1.8993691451654526,Bahawalpur District,4,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00010000000000001692,6.97650931398698,Bhakkar District,4,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00010000000000001693,17.828226731224582,Chakwal District,4,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00010000000000001694,7.102165062994368,Dera Ghazi Khan District,4,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00010000000000001695,7.516342847332921,Faisalabad District,4,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00010000000000001696,11.23786247486813,Gujranwala District,4,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00010000000000001697,15.03676077591787,Gujrat District,4,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00010000000000001698,10.669230503305764,Hafizabad District,4,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00010000000000001699,5.104031770292455,Jhang District,4,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0001000000000000169a,16.5790793754834,Jhelum District,4,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0001000000000000169b,8.27750317834132,Kasur District,4,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0001000000000000169c,1.372242439858231,Khanewal District,4,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0001000000000000169d,11.526231812784525,Khushab District,4,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0001000000000000169e,11.147968404564951,Lahore District,4,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0001000000000000169f,4.541864569533674,Layyah District,4,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000100000000000016a0,1.7015954342294368,Lodhran District,4,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000100000000000016a1,11.567051314333511,Mandi Bahauddin District,4,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000100000000000016a2,16.592598319643514,Mianwali District,4,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000100000000000016a3,3.9293475018740307,Multan District,4,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000100000000000016a4,5.913086205174012,Muzaffargarh District,4,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000100000000000016a5,17.505633680261315,Narowal District,4,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000100000000000016a6,5.546597532673186,Okara District,4,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000100000000000016a7,1.2402052603220666,Pakpattan District,4,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000100000000000016a8,0.5220942827954267,Rahim Yar Khan District,4,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000100000000000016a9,3.6368480113737927,Rajanpur District,4,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000100000000000016aa,37.6985122026804,Rawalpindi District,4,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000100000000000016ab,2.435042466848702,Sahiwal District,4,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000100000000000016ac,10.914685376371015,Sargodha District,4,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000100000000000016ad,11.77995023479443,Sheikhupura District,4,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000100000000000016ae,12.334601780800613,Sialkot District,4,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000100000000000016af,5.327395803724712,Toba Tek Singh District,4,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000100000000000016b0,0.6279248236150894,Vehari District,4,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0001000000000000168f,43.58008525474932,Attock District,5,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00010000000000001690,7.10195944810227,Bahawalnagar District,5,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00010000000000001691,5.823207287600121,Bahawalpur District,5,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00010000000000001692,12.214943625001405,Bhakkar District,5,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00010000000000001693,36.158297117988994,Chakwal District,5,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00010000000000001694,19.32736527958899,Dera Ghazi Khan District,5,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00010000000000001695,11.420451500734579,Faisalabad District,5,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00010000000000001696,21.406913966258447,Gujranwala District,5,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00010000000000001697,30.331446896455805,Gujrat District,5,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00010000000000001698,21.618505784981615,Hafizabad District,5,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00010000000000001699,12.156912647339242,Jhang District,5,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0001000000000000169a,34.00918420943895,Jhelum District,5,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0001000000000000169b,14.21825541393525,Kasur District,5,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0001000000000000169c,7.516019802573581,Khanewal District,5,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0001000000000000169d,24.104906991135316,Khushab District,5,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0001000000000000169e,23.572949613239825,Lahore District,5,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0001000000000000169f,9.947154683818951,Layyah District,5,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000100000000000016a0,6.772641090226951,Lodhran District,5,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000100000000000016a1,24.393848645170955,Mandi Bahauddin District,5,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000100000000000016a2,26.84461602514136,Mianwali District,5,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000100000000000016a3,10.032154762053098,Multan District,5,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000100000000000016a4,12.554674978686217,Muzaffargarh District,5,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000100000000000016a5,27.626612449970498,Narowal District,5,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000100000000000016a6,9.381083092367465,Okara District,5,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000100000000000016a7,10.365441846438584,Pakpattan District,5,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000100000000000016a8,6.474759893856131,Rahim Yar Khan District,5,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000100000000000016a9,13.599054950398571,Rajanpur District,5,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000100000000000016aa,63.861832398830934,Rawalpindi District,5,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000100000000000016ab,7.698842845058347,Sahiwal District,5,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000100000000000016ac,25.749815399204433,Sargodha District,5,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000100000000000016ad,18.052267775384554,Sheikhupura District,5,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000100000000000016ae,23.725629954021027,Sialkot District,5,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000100000000000016af,8.0760100205735,Toba Tek Singh District,5,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000100000000000016b0,6.701202653029513,Vehari District,5,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0001000000000000168f,64.48843204061244,Attock District,6,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00010000000000001690,36.04236679886623,Bahawalnagar District,6,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00010000000000001691,31.002984485620193,Bahawalpur District,6,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00010000000000001692,35.29906851361082,Bhakkar District,6,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00010000000000001693,44.668239991870394,Chakwal District,6,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00010000000000001694,19.6385557829585,Dera Ghazi Khan District,6,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00010000000000001695,42.54968899966122,Faisalabad District,6,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00010000000000001696,68.06291588282515,Gujranwala District,6,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00010000000000001697,65.20824249890887,Gujrat District,6,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00010000000000001698,43.721777441972115,Hafizabad District,6,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00010000000000001699,40.607060945090126,Jhang District,6,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0001000000000000169a,61.32937838456178,Jhelum District,6,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0001000000000000169b,59.077304704098694,Kasur District,6,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0001000000000000169c,28.285097524665627,Khanewal District,6,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0001000000000000169d,36.96991700685209,Khushab District,6,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0001000000000000169e,67.69715698392979,Lahore District,6,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0001000000000000169f,27.32578426209871,Layyah District,6,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000100000000000016a0,28.502380715225037,Lodhran District,6,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000100000000000016a1,55.04046184577654,Mandi Bahauddin District,6,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000100000000000016a2,33.839372864980405,Mianwali District,6,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000100000000000016a3,22.362553143818936,Multan District,6,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000100000000000016a4,20.397331178945205,Muzaffargarh District,6,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000100000000000016a5,89.69050747733169,Narowal District,6,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000100000000000016a6,42.75437448232971,Okara District,6,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000100000000000016a7,31.806002115632232,Pakpattan District,6,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000100000000000016a8,42.26901400499443,Rahim Yar Khan District,6,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000100000000000016a9,22.16809218402269,Rajanpur District,6,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000100000000000016aa,98.4714202410341,Rawalpindi District,6,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000100000000000016ab,32.40683542915964,Sahiwal District,6,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000100000000000016ac,39.58594699498235,Sargodha District,6,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000100000000000016ad,59.15273785718409,Sheikhupura District,6,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000100000000000016ae,81.21030613743731,Sialkot District,6,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000100000000000016af,40.1388297049908,Toba Tek Singh District,6,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000100000000000016b0,30.122851889648402,Vehari District,6,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0001000000000000168f,235.6596352894535,Attock District,7,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00010000000000001690,164.73857969102144,Bahawalnagar District,7,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00010000000000001691,115.44739366964723,Bahawalpur District,7,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00010000000000001692,108.95642681256471,Bhakkar District,7,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00010000000000001693,192.36115921792825,Chakwal District,7,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00010000000000001694,78.63686569066665,Dera Ghazi Khan District,7,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00010000000000001695,281.17709304917145,Faisalabad District,7,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00010000000000001696,282.2892641806254,Gujranwala District,7,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00010000000000001697,375.6810301637341,Gujrat District,7,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00010000000000001698,245.22223161517238,Hafizabad District,7,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00010000000000001699,144.71685995631566,Jhang District,7,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0001000000000000169a,284.0021211743233,Jhelum District,7,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0001000000000000169b,336.43146224419434,Kasur District,7,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0001000000000000169c,106.74586668755653,Khanewal District,7,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0001000000000000169d,180.1738731162309,Khushab District,7,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0001000000000000169e,447.6565565587146,Lahore District,7,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0001000000000000169f,77.8240321093242,Layyah District,7,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_000100000000000016a0,58.45680229800375,Lodhran District,7,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_000100000000000016a1,244.30280926480506,Mandi Bahauddin District,7,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_000100000000000016a2,131.36921343359208,Mianwali District,7,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_000100000000000016a3,59.319966802990535,Multan District,7,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_000100000000000016a4,61.340864896728284,Muzaffargarh District,7,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_000100000000000016a5,377.9042434314388,Narowal District,7,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_000100000000000016a6,281.77235899200724,Okara District,7,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_000100000000000016a7,244.7493633729079,Pakpattan District,7,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_000100000000000016a8,60.23360133974798,Rahim Yar Khan District,7,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_000100000000000016a9,60.28859541142846,Rajanpur District,7,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_000100000000000016aa,415.3736688720272,Rawalpindi District,7,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_000100000000000016ab,228.9177150161913,Sahiwal District,7,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_000100000000000016ac,208.95879447542,Sargodha District,7,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_000100000000000016ad,343.83484500877967,Sheikhupura District,7,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_000100000000000016ae,412.98683849685983,Sialkot District,7,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_000100000000000016af,141.14055605438304,Toba Tek Singh District,7,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_000100000000000016b0,118.77775955999476,Vehari District,7,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
