system:index,bare_km2,built_km2,crops_km2,district,flooded_vegetation_km2,grass_km2,month,shrub_and_scrub_km2,snow_and_ice_km2,trees_km2,water_km2,year,.geo
0_0001000000000000169a,114.25409231170572,308.12029276362756,1631.8614807342199,Jhelum District,34.42861108478232,5.418632444301073,1,611.7064326097932,2.90671782236108,789.8133227740979,117.55957399266315,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0001000000000000169b,52.604108388930115,355.13033046209637,3368.5257999256723,Kasur District,1.4773286264389753,0.9549653039806906,1,31.30865042196477,1.943293487339043,139.73657310691974,36.44385918074232,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0001000000000000169c,51.169419754033584,393.1786859334684,3673.8702980755734,Khanewal District,0.3597215094439247,1.0230746465826444,1,17.322904876871583,0.291033047930721,137.7136319873599,80.85492011613266,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0001000000000000169d,1117.8488007259243,299.6013074140521,3429.184860427144,Khushab District,6.183234440352694,9.480111510788692,1,687.0639069110556,167.57451086566215,814.393448666494,68.14600421506546,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0001000000000000169e,159.296695377338,588.2545449080019,913.6600206035865,Lahore District,0.7492277669373388,0.5183913856744766,1,20.517730725888967,0.0,26.681421306382354,18.334247509112544,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0001000000000000169f,1491.2449962406254,504.0972483892177,3951.6535933085447,Layyah District,1.1012943806126714,0.7337759942985049,1,251.68249608173457,4.264826302102529,44.00351889644402,99.52471428377665,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a0,28.540698401250093,249.41249629130917,2372.562602672686,Lodhran District,0.007558828526559998,0.03466935642063618,1,3.9736594315618277,0.025962387211620808,10.592202891909754,1.8991574210461741,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a1,36.616597610971354,282.02726301893443,2180.682352006154,Mandi Bahauddin District,8.643913945566643,2.1831506370877225,1,29.45751802029417,0.32668926444854224,124.21346422880525,91.66661700969743,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a2,628.5975664389593,495.70657779313257,3342.7462126899222,Mianwali District,55.12386818504435,5.343209551537739,1,839.681978877444,1.170681958835499,357.6614389879739,265.12632791119836,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a3,146.12084076036788,510.11642942746704,2682.6993301810808,Multan District,0.04315115138888359,0.24008338409384677,1,5.240969100510519,0.15567056834697723,252.91553131044634,50.588179926219965,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a4,628.4220503338594,863.394021343681,5496.971619431819,Muzaffargarh District,4.900485095568001,3.322006727568805,1,112.62948899418114,1.4635261857297783,253.4482462994681,323.4811192638515,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a5,21.05501879585505,154.6355024157092,2087.5306227133374,Narowal District,0.28673952352255583,2.2485991603530504,1,9.437514525326883,0.016895931214094162,75.50989214103376,28.099588763246352,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a6,48.03515050291796,286.16717228961414,3987.0522535421937,Okara District,0.12015675287693739,3.260751985134009,1,21.349336509738922,0.8236153936013579,66.8056290935104,23.96559041908705,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000100000000000016a7,25.11159520087873,214.27792644274294,2612.2778386093783,Pakpattan District,0.0689083430916071,1.346160591075964,1,5.020757088528983,0.09466677065938711,9.454461823520706,16.410371089693815,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
