system:index,NDVI_mean,district,month,year,.geo
2_000100000000000016a9,0.2708358559873967,Rajanpur District,3,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000100000000000016aa,0.42822052001956445,Rawalpindi District,3,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000100000000000016ab,0.5520516354353592,Sahiwal District,3,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000100000000000016ac,0.55657497470744,Sargodha District,3,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000100000000000016ad,0.6665770555752342,Sheikhupura District,3,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000100000000000016ae,0.6497340789605799,Sialkot District,3,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000100000000000016af,0.5655408326657291,Toba Tek Singh District,3,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000100000000000016b0,0.5399775311011362,Vehari District,3,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0001000000000000168f,0.3247957257480518,Attock District,4,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00010000000000001690,0.17735797404939643,Bahawalnagar District,4,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00010000000000001691,0.12757876883148705,Bahawalpur District,4,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00010000000000001692,0.24409220351357416,Bhakkar District,4,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00010000000000001693,0.28206270157910207,Chakwal District,4,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00010000000000001694,0.19687541921332263,Dera Ghazi Khan District,4,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00010000000000001695,0.3366236980103565,Faisalabad District,4,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00010000000000001696,0.4140551526556153,Gujranwala District,4,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00010000000000001697,0.40196702350043856,Gujrat District,4,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00010000000000001698,0.3221218818931667,Hafizabad District,4,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00010000000000001699,0.29800113719975363,Jhang District,4,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0001000000000000169a,0.3224956281357772,Jhelum District,4,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0001000000000000169b,0.428198686386418,Kasur District,4,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0001000000000000169c,0.27812177918589936,Khanewal District,4,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0001000000000000169d,0.23120639318294658,Khushab District,4,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0001000000000000169e,0.35099081877312943,Lahore District,4,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0001000000000000169f,0.23697166005703837,Layyah District,4,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000100000000000016a0,0.23408348147195274,Lodhran District,4,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000100000000000016a1,0.4182844585676791,Mandi Bahauddin District,4,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000100000000000016a2,0.30751017231048716,Mianwali District,4,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000100000000000016a3,0.28679558121167215,Multan District,4,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000100000000000016a4,0.24645271597156132,Muzaffargarh District,4,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000100000000000016a5,0.43415988497983676,Narowal District,4,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000100000000000016a6,0.4198198942558389,Okara District,4,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000100000000000016a7,0.3700463529676036,Pakpattan District,4,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000100000000000016a8,0.1756998339701236,Rahim Yar Khan District,4,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000100000000000016a9,0.1478623426743139,Rajanpur District,4,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000100000000000016aa,0.41891164869759584,Rawalpindi District,4,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000100000000000016ab,0.35197631794433315,Sahiwal District,4,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000100000000000016ac,0.34676983375326026,Sargodha District,4,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000100000000000016ad,0.3715142478569846,Sheikhupura District,4,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000100000000000016ae,0.4796725946877354,Sialkot District,4,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000100000000000016af,0.3379391557636509,Toba Tek Singh District,4,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000100000000000016b0,0.32064391696645345,Vehari District,4,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0001000000000000168f,0.24828512077148523,Attock District,5,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00010000000000001690,0.14753262650513832,Bahawalnagar District,5,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00010000000000001691,0.11193759364200369,Bahawalpur District,5,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00010000000000001692,0.1681667283592923,Bhakkar District,5,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00010000000000001693,0.22424438784172432,Chakwal District,5,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00010000000000001694,0.161165080161561,Dera Ghazi Khan District,5,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00010000000000001695,0.24284211255028454,Faisalabad District,5,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00010000000000001696,0.21210721533952195,Gujranwala District,5,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00010000000000001697,0.2692932595994809,Gujrat District,5,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00010000000000001698,0.16915710077484541,Hafizabad District,5,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00010000000000001699,0.23700947047094004,Jhang District,5,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0001000000000000169a,0.2318930112986571,Jhelum District,5,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0001000000000000169b,0.31050029166446236,Kasur District,5,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0001000000000000169c,0.23813736118058318,Khanewal District,5,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0001000000000000169d,0.18862970076323515,Khushab District,5,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0001000000000000169e,0.24294011567761714,Lahore District,5,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0001000000000000169f,0.16812646467727513,Layyah District,5,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000100000000000016a0,0.19766186836681782,Lodhran District,5,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000100000000000016a1,0.2634557717529639,Mandi Bahauddin District,5,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000100000000000016a2,0.19929755111674155,Mianwali District,5,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000100000000000016a3,0.2397553453550424,Multan District,5,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000100000000000016a4,0.20608591221670253,Muzaffargarh District,5,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000100000000000016a5,0.2220353553955526,Narowal District,5,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000100000000000016a6,0.3282624639616174,Okara District,5,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000100000000000016a7,0.30695017318462137,Pakpattan District,5,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000100000000000016a8,0.1771262513581737,Rahim Yar Khan District,5,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000100000000000016a9,0.13191188086014338,Rajanpur District,5,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000100000000000016aa,0.3380536959504952,Rawalpindi District,5,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000100000000000016ab,0.295618961413408,Sahiwal District,5,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000100000000000016ac,0.2755561018063251,Sargodha District,5,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000100000000000016ad,0.20560133972022487,Sheikhupura District,5,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000100000000000016ae,0.25607898206069424,Sialkot District,5,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000100000000000016af,0.258533708585841,Toba Tek Singh District,5,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000100000000000016b0,0.27687110069971627,Vehari District,5,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0001000000000000168f,0.19016321191391733,Attock District,6,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00010000000000001690,0.198282254555973,Bahawalnagar District,6,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00010000000000001691,0.12309761595587698,Bahawalpur District,6,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00010000000000001692,0.15697511577493367,Bhakkar District,6,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00010000000000001693,0.182369479300913,Chakwal District,6,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00010000000000001694,0.15029698733184468,Dera Ghazi Khan District,6,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00010000000000001695,0.2737465943448974,Faisalabad District,6,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
