system:index,SoilMoisture,district,month,year,.geo
3_00010000000000001694,0.17599248912647017,Dera Ghazi Khan District,4,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00010000000000001695,0.1912426893981376,Faisalabad District,4,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00010000000000001696,0.22333058442251472,Gujranwala District,4,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00010000000000001697,0.25702711798407296,Gujrat District,4,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00010000000000001698,0.22518654236426716,Hafizabad District,4,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00010000000000001699,0.19975227800905332,Jhang District,4,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0001000000000000169a,0.2755839706621347,Jhelum District,4,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0001000000000000169b,0.17652347485453077,Kasur District,4,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0001000000000000169c,0.15129419911039774,Khanewal District,4,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0001000000000000169d,0.22179679072469885,Khushab District,4,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0001000000000000169e,0.1760239142868434,Lahore District,4,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0001000000000000169f,0.14121680479461776,Layyah District,4,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000100000000000016a0,0.1354708325934895,Lodhran District,4,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000100000000000016a1,0.2433330197610115,Mandi Bahauddin District,4,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000100000000000016a2,0.2453570334722529,Mianwali District,4,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000100000000000016a3,0.15127697161302037,Multan District,4,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000100000000000016a4,0.13718966567828783,Muzaffargarh District,4,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000100000000000016a5,0.26923847723385574,Narowal District,4,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000100000000000016a6,0.16272830067909835,Okara District,4,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000100000000000016a7,0.15377708922167752,Pakpattan District,4,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000100000000000016a8,0.09505910438553447,Rahim Yar Khan District,4,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000100000000000016a9,0.09299950224127614,Rajanpur District,4,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000100000000000016aa,0.3234076537346929,Rawalpindi District,4,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000100000000000016ab,0.15375658642433185,Sahiwal District,4,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000100000000000016ac,0.2534602308410735,Sargodha District,4,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000100000000000016ad,0.19646226215544332,Sheikhupura District,4,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000100000000000016ae,0.262450631404422,Sialkot District,4,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000100000000000016af,0.17835244067213446,Toba Tek Singh District,4,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000100000000000016b0,0.14156458763259888,Vehari District,4,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0001000000000000168f,0.18169907179246517,Attock District,5,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00010000000000001690,0.09814320120970194,Bahawalnagar District,5,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00010000000000001691,0.04694122681828737,Bahawalpur District,5,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00010000000000001692,0.05884267764049768,Bhakkar District,5,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00010000000000001693,0.19524054074650915,Chakwal District,5,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00010000000000001694,0.0474289327649745,Dera Ghazi Khan District,5,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00010000000000001695,0.1400443655563318,Faisalabad District,5,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00010000000000001696,0.1682679882998547,Gujranwala District,5,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00010000000000001697,0.16283763748263502,Gujrat District,5,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00010000000000001698,0.15379536001631677,Hafizabad District,5,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00010000000000001699,0.12386593127734169,Jhang District,5,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0001000000000000169a,0.1803035801886254,Jhelum District,5,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0001000000000000169b,0.1508853070111002,Kasur District,5,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0001000000000000169c,0.1299196180427793,Khanewal District,5,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0001000000000000169d,0.11442942432484655,Khushab District,5,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0001000000000000169e,0.14124317038432377,Lahore District,5,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0001000000000000169f,0.05861892597137549,Layyah District,5,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000100000000000016a0,0.12445341221707786,Lodhran District,5,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000100000000000016a1,0.15687835911294118,Mandi Bahauddin District,5,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000100000000000016a2,0.12461424218765582,Mianwali District,5,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000100000000000016a3,0.12307390028171636,Multan District,5,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000100000000000016a4,0.08765478627622314,Muzaffargarh District,5,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000100000000000016a5,0.1722921099252659,Narowal District,5,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000100000000000016a6,0.134993988225465,Okara District,5,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000100000000000016a7,0.12895240911117714,Pakpattan District,5,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000100000000000016a8,0.06934218353072787,Rahim Yar Khan District,5,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000100000000000016a9,0.04762731672486709,Rajanpur District,5,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000100000000000016aa,0.2204874826640937,Rawalpindi District,5,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000100000000000016ab,0.1354409955638661,Sahiwal District,5,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000100000000000016ac,0.14932569495782186,Sargodha District,5,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000100000000000016ad,0.1421523697065507,Sheikhupura District,5,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000100000000000016ae,0.17345526425879798,Sialkot District,5,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000100000000000016af,0.13763964020924765,Toba Tek Singh District,5,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_000100000000000016b0,0.1258509281974141,Vehari District,5,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0001000000000000168f,0.14849872897175,Attock District,6,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00010000000000001690,0.09820033649830577,Bahawalnagar District,6,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00010000000000001691,0.042404856028140384,Bahawalpur District,6,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00010000000000001692,0.0589372093758864,Bhakkar District,6,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00010000000000001693,0.1592295858275861,Chakwal District,6,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00010000000000001694,0.05619301920954842,Dera Ghazi Khan District,6,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00010000000000001695,0.14005337067898602,Faisalabad District,6,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00010000000000001696,0.139725503422131,Gujranwala District,6,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00010000000000001697,0.13782165158634968,Gujrat District,6,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00010000000000001698,0.140567982936199,Hafizabad District,6,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_00010000000000001699,0.12278818772949118,Jhang District,6,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0001000000000000169a,0.14615311635135955,Jhelum District,6,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0001000000000000169b,0.1453208447659496,Kasur District,6,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0001000000000000169c,0.13083476531169427,Khanewal District,6,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0001000000000000169d,0.10377518005435894,Khushab District,6,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0001000000000000169e,0.13835116313744877,Lahore District,6,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0001000000000000169f,0.06292807878016156,Layyah District,6,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000100000000000016a0,0.12495782864151513,Lodhran District,6,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000100000000000016a1,0.1339195017028364,Mandi Bahauddin District,6,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000100000000000016a2,0.10890512716262903,Mianwali District,6,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000100000000000016a3,0.12551463650361672,Multan District,6,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000100000000000016a4,0.08971443291355609,Muzaffargarh District,6,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000100000000000016a5,0.16979660799380464,Narowal District,6,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000100000000000016a6,0.1355546183027116,Okara District,6,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000100000000000016a7,0.1328309734331988,Pakpattan District,6,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000100000000000016a8,0.06326982953794702,Rahim Yar Khan District,6,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000100000000000016a9,0.04682914396267219,Rajanpur District,6,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000100000000000016aa,0.19083348633406796,Rawalpindi District,6,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000100000000000016ab,0.13763409729222234,Sahiwal District,6,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000100000000000016ac,0.13851098687497224,Sargodha District,6,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000100000000000016ad,0.13535179117688653,Sheikhupura District,6,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000100000000000016ae,0.15386291468731994,Sialkot District,6,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000100000000000016af,0.13980047184719133,Toba Tek Singh District,6,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000100000000000016b0,0.12459127230603699,Vehari District,6,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0001000000000000168f,0.25077807281124187,Attock District,7,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00010000000000001690,0.13447189692372183,Bahawalnagar District,7,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00010000000000001691,0.05221518591173376,Bahawalpur District,7,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00010000000000001692,0.08792037498262419,Bhakkar District,7,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00010000000000001693,0.2454526858311397,Chakwal District,7,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00010000000000001694,0.07581576941668744,Dera Ghazi Khan District,7,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00010000000000001695,0.1966443330086376,Faisalabad District,7,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00010000000000001696,0.24782148609533794,Gujranwala District,7,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00010000000000001697,0.26310154941468844,Gujrat District,7,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00010000000000001698,0.22126868694909638,Hafizabad District,7,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00010000000000001699,0.15421148039394006,Jhang District,7,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0001000000000000169a,0.25465572880571685,Jhelum District,7,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0001000000000000169b,0.2089177226699411,Kasur District,7,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0001000000000000169c,0.1522456570755542,Khanewal District,7,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0001000000000000169d,0.15765936876387635,Khushab District,7,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0001000000000000169e,0.2232682569720655,Lahore District,7,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0001000000000000169f,0.08602635358092332,Layyah District,7,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_000100000000000016a0,0.14351780061771754,Lodhran District,7,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_000100000000000016a1,0.2250385872945254,Mandi Bahauddin District,7,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_000100000000000016a2,0.15850246782243957,Mianwali District,7,2026,"{""type"":""MultiPoint"",""coordinates"":[]}"
