system:index,district,month,soil_moisture_0_7cm,soil_moisture_7_28cm,year,.geo
2_000100000000000016a5,Narowal District,3,0.26449804813793076,0.2743625444196134,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000100000000000016a6,Okara District,3,0.1479547905075666,0.1365618629668025,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000100000000000016a7,Pakpattan District,3,0.1357656541259554,0.13279128557768238,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000100000000000016a8,Rahim Yar Khan District,3,0.07870571358527133,0.1172464851122205,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000100000000000016a9,Rajanpur District,3,0.06496144893719855,0.1374143846153425,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000100000000000016aa,Rawalpindi District,3,0.3469318361783678,0.348338838449584,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000100000000000016ab,Sahiwal District,3,0.1503980754788088,0.14150976538217125,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000100000000000016ac,Sargodha District,3,0.20419207159438418,0.18226232888980373,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000100000000000016ad,Sheikhupura District,3,0.17218434794405693,0.15108747035822903,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000100000000000016ae,Sialkot District,3,0.2664461672643974,0.271667757885146,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000100000000000016af,Toba Tek Singh District,3,0.17165138177765502,0.14736568702574213,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_000100000000000016b0,Vehari District,3,0.13235393836769832,0.13258062377782076,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0001000000000000168f,Attock District,4,0.30710490283459346,0.30951745093938215,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00010000000000001690,Bahawalnagar District,4,0.10833141121370717,0.12763421393148888,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00010000000000001691,Bahawalpur District,4,0.05366075340523161,0.12114905424997734,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00010000000000001692,Bhakkar District,4,0.1016886951730937,0.11322723244868241,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00010000000000001693,Chakwal District,4,0.30012989705883947,0.28920077212051176,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00010000000000001694,Dera Ghazi Khan District,4,0.08699400891240171,0.16470827876173638,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00010000000000001695,Faisalabad District,4,0.17182665463243738,0.1489790409431732,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00010000000000001696,Gujranwala District,4,0.2193107342018479,0.188234231217062,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00010000000000001697,Gujrat District,4,0.25584596021034584,0.24036730735659168,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00010000000000001698,Hafizabad District,4,0.1989927281676834,0.16041233493827362,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00010000000000001699,Jhang District,4,0.15309629950186943,0.14288346149837938,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0001000000000000169a,Jhelum District,4,0.2686854932087901,0.24765263679892943,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0001000000000000169b,Kasur District,4,0.16706868817276332,0.14318101768666164,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0001000000000000169c,Khanewal District,4,0.1433226993838281,0.135930849327121,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0001000000000000169d,Khushab District,4,0.1901606409107222,0.17860063322001016,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0001000000000000169e,Lahore District,4,0.17367134440025692,0.15817338996820995,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0001000000000000169f,Layyah District,4,0.0756399167768547,0.09452175100728441,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000100000000000016a0,Lodhran District,4,0.12750334959701526,0.132150023772887,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000100000000000016a1,Mandi Bahauddin District,4,0.21814852341628682,0.19013057439434047,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000100000000000016a2,Mianwali District,4,0.21735556795363184,0.20893324104086028,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000100000000000016a3,Multan District,4,0.13100619489618295,0.13251768971763278,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000100000000000016a4,Muzaffargarh District,4,0.10192359783329788,0.11074346330486731,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000100000000000016a5,Narowal District,4,0.21650870631489108,0.19533389751882008,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000100000000000016a6,Okara District,4,0.15287256963332568,0.136537377626673,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000100000000000016a7,Pakpattan District,4,0.14230631211017383,0.13342916205630495,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000100000000000016a8,Rahim Yar Khan District,4,0.07565006696379308,0.11619697423814118,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000100000000000016a9,Rajanpur District,4,0.0656660941716879,0.13800032767306564,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000100000000000016aa,Rawalpindi District,4,0.34850636946367713,0.3537179200708823,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000100000000000016ab,Sahiwal District,4,0.15049220062096882,0.1419397104026151,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000100000000000016ac,Sargodha District,4,0.20997565486449532,0.17757391370227613,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000100000000000016ad,Sheikhupura District,4,0.18640898877193735,0.15046656533603428,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000100000000000016ae,Sialkot District,4,0.23631725156946407,0.21306394977445878,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000100000000000016af,Toba Tek Singh District,4,0.15318693055623703,0.14459609961358016,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_000100000000000016b0,Vehari District,4,0.13669684841616067,0.13295553395324264,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0001000000000000168f,Attock District,5,0.19203840855258242,0.2324058152318234,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00010000000000001690,Bahawalnagar District,5,0.09423761534863923,0.12639735668221874,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00010000000000001691,Bahawalpur District,5,0.04404904025619727,0.11893718400706949,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_00010000000000001692,Bhakkar District,5,0.05972361775062393,0.10020466734737207,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
