system:index,NDWI_mean,district,month,year,.geo
5_00010000000000001699,-0.321154313943879,Jhang District,6,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0001000000000000169a,-0.3170829630056125,Jhelum District,6,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0001000000000000169b,-0.3595282233670806,Kasur District,6,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0001000000000000169c,-0.37987632127119086,Khanewal District,6,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0001000000000000169d,-0.28553252112182687,Khushab District,6,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0001000000000000169e,-0.31085281872847015,Lahore District,6,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0001000000000000169f,-0.25551043151691033,Layyah District,6,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000100000000000016a0,-0.3656532708439237,Lodhran District,6,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000100000000000016a1,-0.3628183220334752,Mandi Bahauddin District,6,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000100000000000016a2,-0.26469038536414535,Mianwali District,6,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000100000000000016a3,-0.3472829381132731,Multan District,6,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000100000000000016a4,-0.3020573071649189,Muzaffargarh District,6,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000100000000000016a5,-0.2844031352550478,Narowal District,6,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000100000000000016a6,-0.3852632473990353,Okara District,6,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000100000000000016a7,-0.4101842187100771,Pakpattan District,6,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000100000000000016a8,-0.31214264049948376,Rahim Yar Khan District,6,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000100000000000016a9,-0.23515332962464683,Rajanpur District,6,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000100000000000016aa,-0.36189206916176864,Rawalpindi District,6,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000100000000000016ab,-0.4107992256612245,Sahiwal District,6,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000100000000000016ac,-0.37235978807670644,Sargodha District,6,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000100000000000016ad,-0.2905371172175529,Sheikhupura District,6,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000100000000000016ae,-0.34539831656685943,Sialkot District,6,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000100000000000016af,-0.36396946087854093,Toba Tek Singh District,6,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_000100000000000016b0,-0.408998766019433,Vehari District,6,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0001000000000000168f,-0.3157268934874166,Attock District,7,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00010000000000001690,-0.3587279831232545,Bahawalnagar District,7,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00010000000000001691,-0.2529078825134596,Bahawalpur District,7,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00010000000000001692,-0.2584542339934762,Bhakkar District,7,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00010000000000001693,-0.3407507263904301,Chakwal District,7,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00010000000000001694,-0.26662639733394056,Dera Ghazi Khan District,7,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00010000000000001695,-0.39052206776455983,Faisalabad District,7,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00010000000000001696,-0.296181557627368,Gujranwala District,7,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00010000000000001697,-0.4069413028182262,Gujrat District,7,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00010000000000001698,-0.25338107297211115,Hafizabad District,7,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_00010000000000001699,-0.34088149461343703,Jhang District,7,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0001000000000000169a,-0.33880339404385346,Jhelum District,7,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0001000000000000169b,-0.37037668466994605,Kasur District,7,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0001000000000000169c,-0.37355957364464965,Khanewal District,7,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0001000000000000169d,-0.288576176546788,Khushab District,7,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0001000000000000169e,-0.27625441976947585,Lahore District,7,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0001000000000000169f,-0.29815579153413785,Layyah District,7,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_000100000000000016a0,-0.3827557181451821,Lodhran District,7,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_000100000000000016a1,-0.3790180974836233,Mandi Bahauddin District,7,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_000100000000000016a2,-0.28021290406538557,Mianwali District,7,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_000100000000000016a3,-0.38156988522445584,Multan District,7,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_000100000000000016a4,-0.33013064255555796,Muzaffargarh District,7,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_000100000000000016a5,-0.1995781220427164,Narowal District,7,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_000100000000000016a6,-0.30678587585931866,Okara District,7,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_000100000000000016a7,-0.3460144670275086,Pakpattan District,7,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_000100000000000016a8,-0.36944089525904206,Rahim Yar Khan District,7,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
